smiles,BM,SA,SC
*C(C*)OC(C)(C)C,2428411908,5.485058351,1.921744176
*C(C(*)OCC(C)C)C,2050342135,5.303431719,1.661767417
*C(C*)OC(C)C,2391684571,5.797088324,1.431134197
*C(C*)(OC)C,2615501362,6.194780051,1.838627922
*C(C*)OCC(C)(C)C,2002499220,5.331501668,2.120872273
*C(C*)OC(CC)C,2201283229,5.765753758,2.093383662
*C(C*)OC(=O)C(F)(F)F,2659743215,5.072641869,2.11885576
*/C=C/C(C*)OC,2410546717,6.28898283,2.06157118
*C=CCC(CC*)(C(=O)OC)C,2903047283,5.28177721,2.371286488
*C(C*)CCc1c(cccc1)C,3182333832,3.921254359,2.779502585
*C(C*)CCc1ccc(cc1)C,3115947806,3.783712052,2.795368913
*C(C*)OCCCCCCCCCCCC,2503470824,3.656808114,2.650368317
*C(C(*)OCCCC)C,2083611140,5.037623057,1.858590733
*C(C(*)OC(C)(C)C)C,2242372017,5.418314181,1.907809028
*C(C(*)OCC)C,1985876447,5.812646221,1.515865383
*C(C(*)OC(C)C)C,1976632500,5.668910584,1.736531255
*C(C(*)OC)C,2332119388,6.351905505,1.641434332
*C(C(*)OCCC)C,1784065598,5.463949745,1.977174733
*C(C*)Cc1c(ccc(c1)C)C,2507105676,4.053787656,2.708661214
*C(C*)Cc1cc(c(cc1)C)C,2817904927,3.973032931,2.932172107
*C(C*)Cc1cc(cc(c1)C)C,2534902624,4.093371832,2.645625807
*C(C*)Cc1cc(ccc1)C,2932289415,4.001113164,2.595391207
*C(C*)Cc1c(cccc1)C,2744415284,4.00518729,2.450931713
*C(C*)Cc1ccc(cc1)C,2769176666,3.880832045,2.622868022
*C(C(*)O)C,3781096616,6.383767078,1.549197553
*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,2240584094,3.63338196,2.440088343
*C(C*)C(=O)C(C)(C)C,2633748368,5.164445515,2.326050448
*C(C*)C(=O)C1CCCCC1,2583173288,4.311984492,2.437647472
*C(C*)C(=O)c1c(cccc1)O,3134442664,4.07629359,2.102351593
*C=CC(C*)OC,2593097373,6.28898283,1.961591924
*C(=CCC*)c1ccccc1,2701219559,3.890217127,2.004806714
*C(O)C(*)O,7028861986,6.524273587,1.42555481
*C(C*)OCC(CCCC)CC,2286188898,4.772489839,2.832478469
*C(C*)SCCCC,2154651038,5.279848386,1.963706094
*C(C*)OC1CCCCC1,2874643249,4.537443854,2.351096697
*C(C*)SCC,2501097814,6.32843435,1.957529269
*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,1503470315,4.412221094,2.037766671
*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,1428882034,4.867606739,2.525733067
*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,1552498150,4.372628361,2.245803978
*C(C(*)(F)F)OC(F)(F)F,2321454540,5.285000449,1.826825525
*C(C(*)F)(OC(F)(F)F)F,2502408358,5.550520298,2.051355589
*C(C(*)(F)F)(OC(F)(F)F)F,2095113058,5.082629797,1.768033137
*C(C*)OCC(CC)(C)C,2305150212,5.330802308,2.551068225
*C(C*)SC,3001179776,6.994858235,1.985185494
*C(C*)OCCC,2303284968,5.553850962,2.419370757
*C(C*)(C(=O)C)F,3794318000,5.776457555,2.21671308
*C(C*)C(=O)c1ccccc1,3098742659,3.858325751,2.158174491
*C(C*)C(=O)c1cc(c(cc1)Br)OC,2688111858,3.965416574,2.488393281
*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,2703135559,3.719805392,2.442354473
*C(C*)C(=O)c1ccc(cc1)Cl,2566986356,3.843250953,2.178413807
*C(C*)C(=O)c1ccc(cc1)CC,2532135613,3.737344385,2.663855884
*C(C*)C(=O)c1ccc(cc1)C(C)C,2411094152,3.726148113,2.477756022
*C(C*)C(=O)c1ccc(cc1)OC,3063925087,3.658596207,2.188614811
*C(C*)C(=O)c1cc(c(cc1)C)C,3035112746,3.876612763,2.724992176
*C(C*)C(=O)c1ccc(cc1)CCC,2345436277,3.655645946,2.799986795
*C(C*)C(=O)c1ccc(cc1)C,2882950487,3.815341063,2.341465324
*C(C*)OC(=O)c1c(cccc1)OC(=O)C,3181618786,3.699798415,2.384217484
*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,2782073800,3.611812128,2.508578189
*C(C*)OC(=O)CCCC(=O)c1ccccc1,3942492622,3.525957266,2.252052702
*C(C*)OC(=O)c1cc(ccc1)Br,3374836956,3.908435478,2.24753209
*C(C*)OC(=O)c1ccc(cc1)Br,2788314247,3.816515236,2.069312277
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,2404498692,3.552371837,2.838515425
*C(C*)OC(=O)c1c(cccc1)Cl,3365498623,3.805143171,2.004424366
*C(C*)OC(=O)c1cc(ccc1)Cl,2849035844,3.823256126,2.066267781
*C(C*)OC(=O)c1ccc(cc1)Cl,2910650737,3.718779608,2.198984149
*C(C*)OC(=O)C1CCCCC1,2634238079,4.135492821,2.028792513
*C(C*)OC(=O)CC1CCCCC1,2624693320,4.122741053,2.527393281
*C(C*)OC(=O)CCCC1CCCCC1,3579861629,3.889993085,2.616901214
*C(C*)OC(=O)c1ccc(cc1)OCC,2663584164,3.517632665,2.547613731
*C(C*)OC(=O)c1ccc(cc1)CC,2258854439,3.633914239,2.52969193
*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,2192966566,4.617289353,2.188736479
*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,2315560809,5.184743567,2.382470668
*C(C*)NC(=O)OC(C)(C)C,2082257430,4.469647709,1.756096196
*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2822663229,4.241333693,2.336462478
*C(C*)OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,2343945316,4.40065683,2.336462478
*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2449259293,4.33189942,2.336462478
*C(C*)OC(=O)C(C(F)(F)F)(F)F,2340978991,4.879042933,2.291239773
*C(C*)OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1910394908,4.47567752,2.332636574
*C(C*)OC(=O)c1ccncc1,3335203934,4.109865898,2.258440705
*C(C*)OC(=O)c1ccc(cc1)C(C)C,2177906226,3.631763174,2.390457697
*C(C*)OC(=O)C(C(C)C)(C(C)C)C,2296373266,4.947709786,2.340061748
*C(C*)OC(=O)c1c(cccc1)OC,3178415039,3.656351762,2.369076168
*C(C*)OC(=O)c1cc(ccc1)OC,3015440701,3.649864332,2.206905911
*C(C*)OC(=O)c1ccc(cc1)OC,2821725416,3.560928122,2.225720157
*C(C*)OC(=O)c1c(cccc1)C,3402628031,3.798566248,2.237447447
*C(C*)OC(=O)c1cc(ccc1)C,3255741143,3.793443171,2.155090052
*C(C*)OC(=O)c1ccc(cc1)C,2364609877,3.69307313,2.17194137
*C(C*)OC(=O)CC(c1ccccc1)(C)C,3212880326,3.931917144,2.642100113
*C(C*)OC(=O)C(CCC)(C)C,2375116983,4.748450513,2.86439284
