smiles,BM,SA,SC,atom_count
*C(C*)CCc1ccc(cc1)C,3115947806.0,3.783712052,2.795368913,13
*C(C*)OCCCCCCCCCCCC,2503470824.0,3.656808114,2.650368317,17
*C(C(*)OCCCC)C,2083611140.0,5.037623057,1.858590733,10
*C(C(*)OC(C)(C)C)C,2242372017.0,5.418314181,1.907809028,10
*C(C(*)OCC)C,1985876447.0,5.812646221,1.515865383,8
*C(C(*)OC(C)C)C,1976632500.0,5.668910584,1.736531255,9
*C(C(*)OC)C,2332119388.0,6.351905505,1.641434332,7
*C(C(*)OCCC)C,1784065598.0,5.463949745,1.977174733,9
*C(C*)Cc1c(ccc(c1)C)C,2507105676.0,4.053787656,2.708661214,13
*C(C*)Cc1cc(c(cc1)C)C,2817904927.0,3.973032931,2.932172107,13
*C(C*)Cc1cc(cc(c1)C)C,2534902624.0,4.093371832,2.645625807,13
*C(C*)Cc1cc(ccc1)C,2932289415.0,4.001113164,2.595391207,12
*C(C*)Cc1c(cccc1)C,2744415284.0,4.00518729,2.450931713,12
*C(C*)Cc1ccc(cc1)C,2769176666.0,3.880832045,2.622868022,12
*C(C(*)O)C,3781096616.0,6.383767078,1.549197553,6
*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,2240584094.0,3.63338196,2.440088343,17
*C(C*)C(=O)C(C)(C)C,2633748368.0,5.164445515,2.326050448,10
*C(C*)C(=O)C1CCCCC1,2583173288.0,4.311984492,2.437647472,12
*C(C*)C(=O)c1c(cccc1)O,3134442664.0,4.07629359,2.102351593,13
*C=CC(C*)OC,2593097373.0,6.28898283,1.961591924,8
*C(=CCC*)c1ccccc1,2701219559.0,3.890217127,2.004806714,12
*C(O)C(*)O,7028861986.0,6.524273587,1.42555481,6
*C(C*)OCC(CCCC)CC,2286188898.0,4.772489839,2.832478469,13
*C(C*)SCCCC,2154651038.0,5.279848386,1.963706094,9
*C(C*)OC1CCCCC1,2874643249.0,4.537443854,2.351096697,11
*C(C*)SCC,2501097814.0,6.32843435,1.957529269,7
*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,1503470315.0,4.412221094,2.037766671,21
*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,1428882034.0,4.867606739,2.525733067,15
*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,1552498150.0,4.372628361,2.245803978,16
*C(C(*)(F)F)OC(F)(F)F,2321454540.0,5.285000449,1.826825525,11
*C(C(*)F)(OC(F)(F)F)F,2502408358.0,5.550520298,2.051355589,11
*C(C(*)(F)F)(OC(F)(F)F)F,2095113058.0,5.082629797,1.768033137,12
*C(C*)OCC(CC)(C)C,2305150212.0,5.330802308,2.551068225,11
*C(C*)SC,3001179776.0,6.994858235,1.985185494,6
*C(C*)OCCC,2303284968.0,5.553850962,2.419370757,8
*C(C*)(C(=O)C)F,3794318000.0,5.776457555,2.21671308,8
